id	_citation_author.name	_citation_author.ordinal
D_1001407944	Lithgo, R.M.	1
D_1001407944	Fairhead, M.	2
D_1001407944	Koekemoer, L.	3
D_1001407944	Balcomb, B.H.	4
D_1001407944	Capkin, E.	5
D_1001407944	Chandran, A.V.	6
D_1001407944	Golding, M.	7
D_1001407944	Godoy, A.S.	8
D_1001407944	Aschenbrenner, J.C.	9
D_1001407944	Marples, P.G.	10
D_1001407944	Ni, X.	11
D_1001407944	Thompson, W.	12
D_1001407944	Tomlinson, C.W.E.	13
D_1001407944	Wild, C.	14
D_1001407944	Winokan, M.	15
D_1001407944	Xavier, M.-A.E.	16
D_1001407944	Kenton, N.	17
D_1001407944	Tucker, J.	18
D_1001407944	DiPoto, M.	19
D_1001407944	Lee, A.	20
D_1001407944	Fearon, D.	21
D_1001407944	von Delft, F.	22
D_1001407945	Lithgo, R.M.	1
D_1001407945	Fairhead, M.	2
D_1001407945	Koekemoer, L.	3
D_1001407945	Balcomb, B.H.	4
D_1001407945	Capkin, E.	5
D_1001407945	Chandran, A.V.	6
D_1001407945	Golding, M.	7
D_1001407945	Godoy, A.S.	8
D_1001407945	Aschenbrenner, J.C.	9
D_1001407945	Marples, P.G.	10
D_1001407945	Ni, X.	11
D_1001407945	Thompson, W.	12
D_1001407945	Tomlinson, C.W.E.	13
D_1001407945	Wild, C.	14
D_1001407945	Winokan, M.	15
D_1001407945	Xavier, M.-A.E.	16
D_1001407945	Kenton, N.	17
D_1001407945	Tucker, J.	18
D_1001407945	DiPoto, M.	19
D_1001407945	Lee, A.	20
D_1001407945	Fearon, D.	21
D_1001407945	von Delft, F.	22
