id	_exptl_crystal_grow.temp	_exptl_crystal_grow.method
D_1001404927	293	VAPOR DIFFUSION, SITTING DROP
D_1001404928	293	VAPOR DIFFUSION, SITTING DROP
D_1001404929	293	VAPOR DIFFUSION, SITTING DROP
D_1001404930	293	VAPOR DIFFUSION, SITTING DROP
D_1001404931	293	VAPOR DIFFUSION, SITTING DROP
D_1001404932	293	VAPOR DIFFUSION, SITTING DROP
D_1001404933	293	VAPOR DIFFUSION, SITTING DROP
D_1001404934	293	VAPOR DIFFUSION, SITTING DROP
D_1001404935	293	VAPOR DIFFUSION, SITTING DROP
D_1001404936	293	VAPOR DIFFUSION, SITTING DROP
D_1001404937	293	VAPOR DIFFUSION, SITTING DROP
D_1001404938	293	VAPOR DIFFUSION, SITTING DROP
D_1001404939	293	VAPOR DIFFUSION, SITTING DROP
D_1001404940	293	VAPOR DIFFUSION, SITTING DROP
D_1001404941	293	VAPOR DIFFUSION, SITTING DROP
D_1001404942	293	VAPOR DIFFUSION, SITTING DROP
D_1001404943	293	VAPOR DIFFUSION, SITTING DROP
D_1001404944	293	VAPOR DIFFUSION, SITTING DROP
D_1001404945	293	VAPOR DIFFUSION, SITTING DROP
D_1001404946	293	VAPOR DIFFUSION, SITTING DROP
D_1001404947	293	VAPOR DIFFUSION, SITTING DROP
D_1001404948	293	VAPOR DIFFUSION, SITTING DROP
D_1001404949	293	VAPOR DIFFUSION, SITTING DROP
D_1001404950	293	VAPOR DIFFUSION, SITTING DROP
D_1001404951	293	VAPOR DIFFUSION, SITTING DROP
D_1001404952	293	VAPOR DIFFUSION, SITTING DROP
D_1001404953	293	VAPOR DIFFUSION, SITTING DROP
D_1001404954	293	VAPOR DIFFUSION, SITTING DROP
D_1001404955	293	VAPOR DIFFUSION, SITTING DROP
D_1001404956	293	VAPOR DIFFUSION, SITTING DROP
D_1001404957	293	VAPOR DIFFUSION, SITTING DROP
D_1001404958	293	VAPOR DIFFUSION, SITTING DROP
D_1001404959	293	VAPOR DIFFUSION, SITTING DROP
D_1001404960	293	VAPOR DIFFUSION, SITTING DROP
D_1001404961	293	VAPOR DIFFUSION, SITTING DROP
D_1001404962	293	VAPOR DIFFUSION, SITTING DROP
D_1001404963	293	VAPOR DIFFUSION, SITTING DROP
D_1001404964	293	VAPOR DIFFUSION, SITTING DROP
D_1001404965	293	VAPOR DIFFUSION, SITTING DROP
D_1001404966	293	VAPOR DIFFUSION, SITTING DROP
D_1001404967	293	VAPOR DIFFUSION, SITTING DROP
D_1001404968	293	VAPOR DIFFUSION, SITTING DROP
D_1001404969	293	VAPOR DIFFUSION, SITTING DROP
D_1001404970	293	VAPOR DIFFUSION, SITTING DROP
D_1001404971	293	VAPOR DIFFUSION, SITTING DROP
D_1001404972	293	VAPOR DIFFUSION, SITTING DROP
D_1001404973	293	VAPOR DIFFUSION, SITTING DROP
D_1001404974	293	VAPOR DIFFUSION, SITTING DROP
D_1001404975	293	VAPOR DIFFUSION, SITTING DROP
D_1001404976	293	VAPOR DIFFUSION, SITTING DROP
D_1001404977	293	VAPOR DIFFUSION, SITTING DROP
D_1001404978	293	VAPOR DIFFUSION, SITTING DROP
D_1001404979	293	VAPOR DIFFUSION, SITTING DROP
D_1001404980	293	VAPOR DIFFUSION, SITTING DROP
D_1001404981	293	VAPOR DIFFUSION, SITTING DROP
D_1001404982	293	VAPOR DIFFUSION, SITTING DROP
D_1001404983	293	VAPOR DIFFUSION, SITTING DROP
D_1001404984	293	VAPOR DIFFUSION, SITTING DROP
D_1001404985	293	VAPOR DIFFUSION, SITTING DROP
D_1001404986	293	VAPOR DIFFUSION, SITTING DROP
D_1001404987	293	VAPOR DIFFUSION, SITTING DROP
D_1001404988	293	VAPOR DIFFUSION, SITTING DROP
D_1001404989	293	VAPOR DIFFUSION, SITTING DROP
D_1001404990	293	VAPOR DIFFUSION, SITTING DROP
D_1001404991	293	VAPOR DIFFUSION, SITTING DROP
D_1001404992	293	VAPOR DIFFUSION, SITTING DROP
D_1001404993	293	VAPOR DIFFUSION, SITTING DROP
D_1001404994	293	VAPOR DIFFUSION, SITTING DROP
D_1001404995	293	VAPOR DIFFUSION, SITTING DROP
D_1001404996	293	VAPOR DIFFUSION, SITTING DROP
D_1001404997	293	VAPOR DIFFUSION, SITTING DROP
D_1001404998	293	VAPOR DIFFUSION, SITTING DROP
D_1001404999	293	VAPOR DIFFUSION, SITTING DROP
D_1001405000	293	VAPOR DIFFUSION, SITTING DROP
D_1001405001	293	VAPOR DIFFUSION, SITTING DROP
D_1001405002	293	VAPOR DIFFUSION, SITTING DROP
D_1001405003	293	VAPOR DIFFUSION, SITTING DROP
D_1001405004	293	VAPOR DIFFUSION, SITTING DROP
D_1001405005	293	VAPOR DIFFUSION, SITTING DROP
D_1001405006	293	VAPOR DIFFUSION, SITTING DROP
D_1001405007	293	VAPOR DIFFUSION, SITTING DROP
D_1001405008	293	VAPOR DIFFUSION, SITTING DROP
D_1001405009	293	VAPOR DIFFUSION, SITTING DROP
D_1001405010	293	VAPOR DIFFUSION, SITTING DROP
D_1001405011	293	VAPOR DIFFUSION, SITTING DROP
D_1001405012	293	VAPOR DIFFUSION, SITTING DROP
D_1001405013	293	VAPOR DIFFUSION, SITTING DROP
D_1001405014	293	VAPOR DIFFUSION, SITTING DROP
D_1001405015	293	VAPOR DIFFUSION, SITTING DROP
D_1001405016	293	VAPOR DIFFUSION, SITTING DROP
D_1001405017	293	VAPOR DIFFUSION, SITTING DROP
D_1001405018	293	VAPOR DIFFUSION, SITTING DROP
D_1001405019	293	VAPOR DIFFUSION, SITTING DROP
D_1001405020	293	VAPOR DIFFUSION, SITTING DROP
D_1001405021	293	VAPOR DIFFUSION, SITTING DROP
D_1001405022	293	VAPOR DIFFUSION, SITTING DROP
D_1001405023	293	VAPOR DIFFUSION, SITTING DROP
D_1001405024	293	VAPOR DIFFUSION, SITTING DROP
D_1001405025	293	VAPOR DIFFUSION, SITTING DROP
D_1001405026	293	VAPOR DIFFUSION, SITTING DROP
D_1001405027	293	VAPOR DIFFUSION, SITTING DROP
D_1001405028	293	VAPOR DIFFUSION, SITTING DROP
D_1001405029	293	VAPOR DIFFUSION, SITTING DROP
D_1001405030	293	VAPOR DIFFUSION, SITTING DROP
D_1001405031	293	VAPOR DIFFUSION, SITTING DROP
D_1001405032	293	VAPOR DIFFUSION, SITTING DROP
D_1001405033	293	VAPOR DIFFUSION, SITTING DROP
D_1001405034	293	VAPOR DIFFUSION, SITTING DROP
D_1001405035	293	VAPOR DIFFUSION, SITTING DROP
D_1001405036	293	VAPOR DIFFUSION, SITTING DROP
D_1001405037	293	VAPOR DIFFUSION, SITTING DROP
D_1001405038	293	VAPOR DIFFUSION, SITTING DROP
D_1001405039	293	VAPOR DIFFUSION, SITTING DROP
D_1001405040	293	VAPOR DIFFUSION, SITTING DROP
D_1001405041	293	VAPOR DIFFUSION, SITTING DROP
D_1001405042	293	VAPOR DIFFUSION, SITTING DROP
D_1001405043	293	VAPOR DIFFUSION, SITTING DROP
D_1001405044	293	VAPOR DIFFUSION, SITTING DROP
D_1001405045	293	VAPOR DIFFUSION, SITTING DROP
D_1001405046	293	VAPOR DIFFUSION, SITTING DROP
D_1001405047	293	VAPOR DIFFUSION, SITTING DROP
D_1001405048	293	VAPOR DIFFUSION, SITTING DROP
D_1001405049	293	VAPOR DIFFUSION, SITTING DROP
