id	_pdbx_deposit_group.group_title	_pdbx_deposit_group.group_description
D_1001405411	To be published	A set of fabp crystal structures
D_1001405412	To be published	A set of fabp crystal structures
D_1001405413	To be published	A set of fabp crystal structures
D_1001405414	To be published	A set of fabp crystal structures
D_1001405415	To be published	A set of fabp crystal structures
D_1001405416	To be published	A set of fabp crystal structures
D_1001405417	To be published	A set of fabp crystal structures
D_1001405418	To be published	A set of fabp crystal structures
D_1001405419	To be published	A set of fabp crystal structures
D_1001405420	To be published	A set of fabp crystal structures
D_1001405421	To be published	A set of fabp crystal structures
D_1001405422	To be published	A set of fabp crystal structures
D_1001405423	To be published	A set of fabp crystal structures
D_1001405424	To be published	A set of fabp crystal structures
D_1001405425	To be published	A set of fabp crystal structures
D_1001405426	To be published	A set of fabp crystal structures
D_1001405427	To be published	A set of fabp crystal structures
D_1001405428	To be published	A set of fabp crystal structures
D_1001405429	To be published	A set of fabp crystal structures
D_1001405430	To be published	A set of fabp crystal structures
D_1001405431	To be published	A set of fabp crystal structures
D_1001405432	To be published	A set of fabp crystal structures
D_1001405433	To be published	A set of fabp crystal structures
D_1001405434	To be published	A set of fabp crystal structures
D_1001405435	To be published	A set of fabp crystal structures
D_1001405436	To be published	A set of fabp crystal structures
D_1001405437	To be published	A set of fabp crystal structures
D_1001405438	To be published	A set of fabp crystal structures
D_1001405439	To be published	A set of fabp crystal structures
D_1001405440	To be published	A set of fabp crystal structures
D_1001405441	To be published	A set of fabp crystal structures
D_1001405442	To be published	A set of fabp crystal structures
D_1001405443	To be published	A set of fabp crystal structures
D_1001405444	To be published	A set of fabp crystal structures
D_1001405445	To be published	A set of fabp crystal structures
D_1001405446	To be published	A set of fabp crystal structures
D_1001405447	To be published	A set of fabp crystal structures
D_1001405448	To be published	A set of fabp crystal structures
D_1001405449	To be published	A set of fabp crystal structures
D_1001405450	To be published	A set of fabp crystal structures
D_1001405451	To be published	A set of fabp crystal structures
D_1001405452	To be published	A set of fabp crystal structures
D_1001405453	To be published	A set of fabp crystal structures
D_1001405454	To be published	A set of fabp crystal structures
D_1001405455	To be published	A set of fabp crystal structures
D_1001405456	To be published	A set of fabp crystal structures
D_1001405457	To be published	A set of fabp crystal structures
D_1001405458	To be published	A set of fabp crystal structures
D_1001405459	To be published	A set of fabp crystal structures
D_1001405460	To be published	A set of fabp crystal structures
D_1001405461	To be published	A set of fabp crystal structures
D_1001405462	To be published	A set of fabp crystal structures
D_1001405463	To be published	A set of fabp crystal structures
D_1001405464	To be published	A set of fabp crystal structures
D_1001405465	To be published	A set of fabp crystal structures
D_1001405466	To be published	A set of fabp crystal structures
D_1001405467	To be published	A set of fabp crystal structures
D_1001405468	To be published	A set of fabp crystal structures
D_1001405469	To be published	A set of fabp crystal structures
D_1001405470	To be published	A set of fabp crystal structures
D_1001405471	To be published	A set of fabp crystal structures
D_1001405472	To be published	A set of fabp crystal structures
D_1001405473	To be published	A set of fabp crystal structures
D_1001405474	To be published	A set of fabp crystal structures
D_1001405475	To be published	A set of fabp crystal structures
D_1001405476	To be published	A set of fabp crystal structures
D_1001405477	To be published	A set of fabp crystal structures
D_1001405478	To be published	A set of fabp crystal structures
D_1001405479	To be published	A set of fabp crystal structures
D_1001405480	To be published	A set of fabp crystal structures
D_1001405481	To be published	A set of fabp crystal structures
D_1001405482	To be published	A set of fabp crystal structures
D_1001405483	To be published	A set of fabp crystal structures
D_1001405484	To be published	A set of fabp crystal structures
D_1001405485	To be published	A set of fabp crystal structures
D_1001405486	To be published	A set of fabp crystal structures
D_1001405487	To be published	A set of fabp crystal structures
D_1001405488	To be published	A set of fabp crystal structures
D_1001405489	To be published	A set of fabp crystal structures
D_1001405490	To be published	A set of fabp crystal structures
D_1001405491	To be published	A set of fabp crystal structures
D_1001405492	To be published	A set of fabp crystal structures
D_1001405493	To be published	A set of fabp crystal structures
D_1001405494	To be published	A set of fabp crystal structures
D_1001405495	To be published	A set of fabp crystal structures
D_1001405496	To be published	A set of fabp crystal structures
D_1001405497	To be published	A set of fabp crystal structures
D_1001405498	To be published	A set of fabp crystal structures
