id	_refine.ls_d_res_high
D_1001404927	1.54
D_1001404928	1.58
D_1001404929	1.53
D_1001404930	1.47
D_1001404931	1.44
D_1001404932	1.61
D_1001404933	1.62
D_1001404934	1.46
D_1001404935	1.51
D_1001404936	1.4
D_1001404937	1.58
D_1001404938	1.55
D_1001404939	1.44
D_1001404940	1.51
D_1001404941	1.45
D_1001404942	1.61
D_1001404943	1.67
D_1001404944	1.76
D_1001404945	1.76
D_1001404946	1.8
D_1001404947	1.51
D_1001404948	1.65
D_1001404949	1.56
D_1001404950	1.55
D_1001404951	1.51
D_1001404952	1.5
D_1001404953	1.45
D_1001404954	1.57
D_1001404955	1.49
D_1001404956	1.55
D_1001404957	1.5
D_1001404958	1.89
D_1001404959	1.5
D_1001404960	1.57
D_1001404961	1.44
D_1001404962	1.54
D_1001404963	1.57
D_1001404964	1.85
D_1001404965	1.65
D_1001404966	1.66
D_1001404967	1.81
D_1001404968	1.51
D_1001404969	1.81
D_1001404970	1.79
D_1001404971	1.66
D_1001404972	1.53
D_1001404973	1.51
D_1001404974	1.54
D_1001404975	1.48
D_1001404976	1.7
D_1001404977	1.51
D_1001404978	1.53
D_1001404979	1.63
D_1001404980	1.63
D_1001404981	1.63
D_1001404982	1.59
D_1001404983	1.63
D_1001404984	1.54
D_1001404985	1.69
D_1001404986	1.76
D_1001404987	1.35
D_1001404988	1.59
D_1001404989	1.59
D_1001404990	1.53
D_1001404991	1.61
D_1001404992	1.72
D_1001404993	1.67
D_1001404994	1.35
D_1001404995	1.55
D_1001404996	1.68
D_1001404997	1.54
D_1001404998	1.45
D_1001404999	1.48
D_1001405000	1.69
D_1001405001	1.51
D_1001405002	1.44
D_1001405003	1.47
D_1001405004	1.74
D_1001405005	1.63
D_1001405006	1.63
D_1001405007	1.53
D_1001405008	1.55
D_1001405009	1.51
D_1001405010	1.52
D_1001405011	1.68
D_1001405012	1.69
D_1001405013	1.58
D_1001405014	1.44
D_1001405015	1.55
D_1001405016	1.75
D_1001405017	1.47
D_1001405018	1.85
D_1001405019	1.59
D_1001405020	1.58
D_1001405021	1.51
D_1001405022	1.55
D_1001405023	1.58
D_1001405024	1.51
D_1001405025	1.51
D_1001405026	1.89
D_1001405027	1.58
D_1001405028	1.72
D_1001405029	1.51
D_1001405030	1.59
D_1001405031	1.87
