id	_pdbx_struct_assembly.oligomeric_details	_pdbx_struct_assembly_gen.asym_id_list
D_1001400001	monomeric	A,B
D_1001400002	monomeric	A,B
D_1001400003	monomeric	A,B
D_1001400004	monomeric	A,B
D_1001400005	monomeric	A,B
D_1001400006	monomeric	A,B
D_1001400007	monomeric	A,B
D_1001400008	monomeric	A,B
D_1001400009	monomeric	A,B
D_1001400010	monomeric	A,B
D_1001400011	monomeric	A,B
D_1001400012	monomeric	A,B
D_1001400013	monomeric	A,B
D_1001400014	monomeric	A,B
D_1001400015	monomeric	A,B
D_1001400016	monomeric	A,B
D_1001400017	monomeric	A,B
D_1001400018	monomeric	A,B
D_1001400019	monomeric	A,B
D_1001400020	monomeric	A,B
D_1001400021	monomeric	A,B
D_1001400022	monomeric	A,B
D_1001400023	monomeric	A,B
D_1001400024	monomeric	A,B
D_1001400025	monomeric	A,B
D_1001400026	monomeric	A,B
D_1001400027	monomeric	A,B
D_1001400028	monomeric	A,B
D_1001400029	monomeric	A,B
D_1001400030	monomeric	A,B
D_1001400031	monomeric	A,B
D_1001400032	monomeric	A,B
D_1001400033	monomeric	A,B
D_1001400034	monomeric	A,B
D_1001400035	monomeric	A,B
D_1001400036	monomeric	A,B
D_1001400037	monomeric	A,B
D_1001400038	monomeric	A,B
D_1001400039	monomeric	A,B
D_1001400040	monomeric	A,B
D_1001400041	monomeric	A,B
D_1001400042	monomeric	A,B
D_1001400043	monomeric	A,B
D_1001400044	monomeric	A,B
D_1001400045	monomeric	A,B
D_1001400046	monomeric	A,B
D_1001400047	monomeric	A,B
D_1001400048	monomeric	A,B
D_1001400049	monomeric	A,B
D_1001400050	monomeric	A,B
D_1001400051	monomeric	A,B
D_1001400052	monomeric	A,B
D_1001400053	monomeric	A,B
D_1001400054	monomeric	A,B
D_1001400055	monomeric	A,B
D_1001400056	monomeric	A,B
D_1001400057	monomeric	A,B
D_1001400058	monomeric	A,B
D_1001400059	monomeric	A,B
D_1001400060	monomeric	A,B
D_1001400061	monomeric	A,B
D_1001400062	monomeric	A,B
D_1001400063	monomeric	A,B
D_1001400064	monomeric	A,B
D_1001400065	monomeric	A,B
D_1001400066	monomeric	A,B
D_1001400067	monomeric	A,B
D_1001400068	monomeric	A,B
D_1001400069	monomeric	A,B
D_1001400070	monomeric	A,B
D_1001400071	monomeric	A,B
D_1001400072	monomeric	A,B
D_1001400073	monomeric	A,B
D_1001400074	monomeric	A,B
D_1001400075	monomeric	A,B
D_1001400076	monomeric	A,B
D_1001400077	monomeric	A,B
D_1001400078	monomeric	A,B
D_1001400079	monomeric	A,B
D_1001400080	monomeric	A,B
D_1001400081	monomeric	A,B
D_1001400082	monomeric	A,B
D_1001400083	monomeric	A,B
D_1001400084	monomeric	A,B
D_1001400085	monomeric	A,B
D_1001400086	monomeric	A,B
D_1001400087	monomeric	A,B
D_1001400088	monomeric	A,B
D_1001400089	monomeric	A,B
D_1001400090	monomeric	A,B
D_1001400091	monomeric	A,B
D_1001400092	monomeric	A,B
D_1001400093	monomeric	A,B
D_1001400094	monomeric	A,B
D_1001400095	monomeric	A,B
D_1001400096	monomeric	A,B
D_1001400097	monomeric	A,B
D_1001400098	monomeric	A,B
D_1001400099	monomeric	A,B
D_1001400100	monomeric	A,B
D_1001400101	monomeric	A,B
D_1001400102	monomeric	A,B
D_1001400103	monomeric	A,B
D_1001400104	monomeric	A,B
D_1001400105	monomeric	A,B
D_1001400106	monomeric	A,B
D_1001400107	monomeric	A,B
D_1001400108	monomeric	A,B
D_1001400109	monomeric	A,B
D_1001400110	monomeric	A,B
D_1001400111	monomeric	A,B
D_1001400112	monomeric	A,B
D_1001400113	monomeric	A,B
D_1001400114	monomeric	A,B
D_1001400115	monomeric	A,B
D_1001400116	monomeric	A,B
D_1001400117	monomeric	A,B
D_1001400118	monomeric	A,B
D_1001400119	monomeric	A,B
D_1001400120	monomeric	A,B
D_1001400121	monomeric	A,B
D_1001400122	monomeric	A,B
D_1001400123	monomeric	A,B
D_1001400124	monomeric	A,B
D_1001400125	monomeric	A,B
D_1001400126	monomeric	A,B
D_1001400127	monomeric	A,B
D_1001400128	monomeric	A,B
D_1001400129	monomeric	A,B
D_1001400130	monomeric	A,B
D_1001400131	monomeric	A,B
D_1001400132	monomeric	A,B
D_1001400133	monomeric	A,B
D_1001400134	monomeric	A,B
D_1001400135	monomeric	A,B
D_1001400136	monomeric	A,B
D_1001400137	monomeric	A,B
D_1001400138	monomeric	A,B
D_1001400139	monomeric	A,B
D_1001400140	monomeric	A,B
D_1001400141	monomeric	A,B
D_1001400142	monomeric	A,B
D_1001400143	monomeric	A,B
D_1001400144	monomeric	A,B
D_1001400145	monomeric	A,B
D_1001400146	monomeric	A,B
D_1001400147	monomeric	A,B
D_1001400148	monomeric	A,B
D_1001400149	monomeric	A,B
D_1001400150	monomeric	A,B
D_1001400151	monomeric	A,B
D_1001400152	monomeric	A,B
D_1001400153	monomeric	A,B
D_1001400154	monomeric	A,B
D_1001400155	monomeric	A,B
D_1001400156	monomeric	A,B
D_1001400157	monomeric	A,B
D_1001400158	monomeric	A,B
D_1001400159	monomeric	A,B
D_1001400160	monomeric	A,B
D_1001400161	monomeric	A,B
D_1001400162	monomeric	A,B
D_1001400163	monomeric	A,B
D_1001400164	monomeric	A,B
D_1001400165	monomeric	A,B
D_1001400166	monomeric	A,B
D_1001400167	monomeric	A,B
D_1001400168	monomeric	A,B
D_1001400169	monomeric	A,B
D_1001400170	monomeric	A,B
D_1001400171	monomeric	A,B
D_1001400172	monomeric	A,B
D_1001400173	monomeric	A,B
D_1001400174	monomeric	A,B
D_1001400175	monomeric	A,B
D_1001400176	monomeric	A,B
D_1001400177	monomeric	A,B
D_1001400178	monomeric	A,B
D_1001400179	monomeric	A,B
D_1001400180	monomeric	A,B
D_1001400181	monomeric	A,B
D_1001400182	monomeric	A,B
D_1001400183	monomeric	A,B
D_1001400184	monomeric	A,B
D_1001400185	monomeric	A,B
D_1001400186	monomeric	A,B
D_1001400187	monomeric	A,B
D_1001400188	monomeric	A,B
D_1001400189	monomeric	A,B
D_1001400190	monomeric	A,B
D_1001400191	monomeric	A,B
D_1001400192	monomeric	A,B
D_1001400193	monomeric	A,B
D_1001400194	monomeric	A,B
D_1001400195	monomeric	A,B
D_1001400196	monomeric	A,B
D_1001400197	monomeric	A,B
D_1001400198	monomeric	A,B
D_1001400199	monomeric	A,B
D_1001400200	monomeric	A,B
D_1001400201	monomeric	A,B
D_1001400202	monomeric	A,B
D_1001400203	monomeric	A,B
D_1001400204	monomeric	A,B
D_1001400205	monomeric	A,B
D_1001400206	monomeric	A,B
D_1001400207	monomeric	A,B
D_1001400208	monomeric	A,B
D_1001400209	monomeric	A,B
D_1001400210	monomeric	A,B
D_1001400211	monomeric	A,B
D_1001400212	monomeric	A,B
D_1001400213	monomeric	A,B
D_1001400214	monomeric	A,B
D_1001400215	monomeric	A,B
D_1001400216	monomeric	A,B
D_1001400217	monomeric	A,B
D_1001400218	monomeric	A,B
D_1001400219	monomeric	A,B
D_1001400220	monomeric	A,B
D_1001400221	monomeric	A,B
D_1001400222	monomeric	A,B
D_1001400223	monomeric	A,B
D_1001400224	monomeric	A,B
D_1001400225	monomeric	A,B
D_1001400226	monomeric	A,B
D_1001400227	monomeric	A,B
D_1001400228	monomeric	A,B
D_1001400229	monomeric	A,B
D_1001400230	monomeric	A,B
D_1001400231	monomeric	A,B
D_1001400232	monomeric	A,B
D_1001400233	monomeric	A,B
D_1001400234	monomeric	A,B
D_1001400235	monomeric	A,B
D_1001400236	monomeric	A,B
D_1001400237	monomeric	A,B
D_1001400238	monomeric	A,B
D_1001400239	monomeric	A,B
D_1001400240	monomeric	A,B
D_1001400241	monomeric	A,B
D_1001400242	monomeric	A,B
D_1001400243	monomeric	A,B
D_1001400244	monomeric	A,B
D_1001400245	monomeric	A,B
D_1001400246	monomeric	A,B
D_1001400247	monomeric	A,B
D_1001400248	monomeric	A,B
D_1001400249	monomeric	A,B
D_1001400250	monomeric	A,B
D_1001400251	monomeric	A,B
D_1001400252	monomeric	A,B
D_1001400253	monomeric	A,B
D_1001400254	monomeric	A,B
D_1001400255	monomeric	A,B
D_1001400256	monomeric	A,B
D_1001400257	monomeric	A,B
D_1001400258	monomeric	A,B
D_1001400259	monomeric	A,B
D_1001400260	monomeric	A,B
D_1001400261	monomeric	A,B
D_1001400262	monomeric	A,B
D_1001400263	monomeric	A,B
D_1001400264	monomeric	A,B
D_1001400265	monomeric	A,B
D_1001400266	monomeric	A,B
D_1001400267	monomeric	A,B
D_1001400268	monomeric	A,B
D_1001400269	monomeric	A,B
D_1001400270	monomeric	A,B
D_1001400271	monomeric	A,B
D_1001400272	monomeric	A,B
D_1001400273	monomeric	A,B
D_1001400274	monomeric	A,B
D_1001400275	monomeric	A,B
D_1001400276	monomeric	A,B
D_1001400277	monomeric	A,B
D_1001400278	monomeric	A,B
D_1001400279	monomeric	A,B
D_1001400280	monomeric	A,B
D_1001400281	monomeric	A,B
D_1001400282	monomeric	A,B
D_1001400283	monomeric	A,B
D_1001400284	monomeric	A,B
D_1001400285	monomeric	A,B
D_1001400286	monomeric	A,B
D_1001400287	monomeric	A,B
D_1001400288	monomeric	A,B
D_1001400289	monomeric	A,B
D_1001400290	monomeric	A,B
D_1001400291	monomeric	A,B
D_1001400292	monomeric	A,B
D_1001400293	monomeric	A,B
D_1001400294	monomeric	A,B
D_1001400295	monomeric	A,B
D_1001400296	monomeric	A,B
D_1001400297	monomeric	A,B
D_1001400298	monomeric	A,B
D_1001400299	monomeric	A,B
D_1001400300	monomeric	A,B
D_1001400301	monomeric	A,B
D_1001400302	monomeric	A,B
D_1001400303	monomeric	A,B
D_1001400304	monomeric	A,B
D_1001400305	monomeric	A,B
D_1001400306	monomeric	A,B
D_1001400307	monomeric	A,B
D_1001400308	monomeric	A,B
D_1001400309	monomeric	A,B
D_1001400310	monomeric	A,B
D_1001400311	monomeric	A,B
D_1001400312	monomeric	A,B
D_1001400313	monomeric	A,B
D_1001400314	monomeric	A,B
D_1001400315	monomeric	A,B
D_1001400316	monomeric	A,B
D_1001400317	monomeric	A,B
D_1001400318	monomeric	A,B
D_1001400319	monomeric	A,B
D_1001400320	monomeric	A,B
D_1001400321	monomeric	A,B
D_1001400322	monomeric	A,B
D_1001400323	monomeric	A,B
D_1001400324	monomeric	A,B
D_1001400325	monomeric	A,B
D_1001400326	monomeric	A,B
D_1001400327	monomeric	A,B
D_1001400328	monomeric	A,B
D_1001400329	monomeric	A,B
D_1001400330	monomeric	A,B
D_1001400331	monomeric	A,B
D_1001400332	monomeric	A,B
D_1001400333	monomeric	A,B
D_1001400334	monomeric	A,B
D_1001400335	monomeric	A,B
D_1001400336	monomeric	A,B
D_1001400337	monomeric	A,B
D_1001400338	monomeric	A,B
D_1001400339	monomeric	A,B
D_1001400340	monomeric	A,B
D_1001400341	monomeric	A,B
D_1001400342	monomeric	A,B
D_1001400343	monomeric	A,B
D_1001400344	monomeric	A,B
D_1001400345	monomeric	A,B
D_1001400346	monomeric	A,B
D_1001400347	monomeric	A,B
D_1001400348	monomeric	A,B
D_1001400349	monomeric	A,B
D_1001400350	monomeric	A,B
D_1001400351	monomeric	A,B
D_1001400352	monomeric	A,B
D_1001400353	monomeric	A,B
D_1001400354	monomeric	A,B
D_1001400355	monomeric	A,B
D_1001400356	monomeric	A,B
D_1001400357	monomeric	A,B
D_1001400358	monomeric	A,B
D_1001400359	monomeric	A,B
D_1001400360	monomeric	A,B
D_1001400361	monomeric	A,B
D_1001400362	monomeric	A,B
D_1001400363	monomeric	A,B
D_1001400364	monomeric	A,B
